TIME,GEO,Value,Scaled_Values,Scaled_Values1
2004,Lithuania,5.17,0.58683314415437,0.17528554038789154
2005,Lithuania,4.88,0.5539160045402951,-0.007758324743349694
2006,Lithuania,4.82,0.547105561861521,-0.045629469253261425
2007,Lithuania,4.64,0.5266742338251986,-0.15924290278299774
2008,Lithuania,4.88,0.5539160045402951,-0.007758324743349694
2009,Lithuania,5.64,0.6401816118047673,0.4719428390488686
2010,Lithuania,5.36,0.6083995459704881,0.2952108313359464
2011,Lithuania,5.17,0.58683314415437,0.17528554038789154
2000,Luxembourg,0.0,0.0,-3.087944744882857
2001,Luxembourg,3.75,0.4256526674233825,-0.7209982130133585
2002,Luxembourg,3.79,0.4301929625425652,-0.6957507833400839
2003,Luxembourg,3.77,0.42792281498297385,-0.7083744981767212
2004,Luxembourg,3.87,0.4392735527809307,-0.6452559239935345
2005,Luxembourg,3.78,0.4290578887627695,-0.7020626407584026
2006,Luxembourg,3.41,0.3870601589103292,-0.935601365236193
2007,Luxembourg,3.15,0.3575482406356413,-1.0997096581124783
2008,Luxembourg,0.0,0.0,-3.087944744882857
2009,Luxembourg,0.0,0.0,-3.087944744882857
2010,Luxembourg,0.0,0.0,-3.087944744882857
2011,Luxembourg,0.0,0.0,-3.087944744882857
2000,Hungary,4.5,0.510783200908059,-0.2476089066394588
2001,Hungary,5.06,0.5743473325766174,0.10585510878638606
2002,Hungary,5.39,0.6118047673098751,0.31414640359090196
2003,Hungary,5.91,0.6708286038592508,0.6423629893434727
2004,Hungary,5.44,0.6174801362088536,0.34570569068249574
2005,Hungary,5.46,0.6197502837684449,0.3583294055191328
2006,Hungary,5.44,0.6174801362088536,0.34570569068249574
2007,Hungary,5.29,0.6004540295119183,0.25102782940771556
2008,Hungary,5.1,0.5788876276958002,0.13110253845966074
2009,Hungary,5.12,0.5811577752553916,0.14372625329629835
2010,Hungary,4.9,0.5561861520998865,0.004865390093287923
2011,Hungary,4.71,0.5346197502837684,-0.11505990085476692
2000,Malta,4.52,0.5130533484676503,-0.23498519180282176
2001,Malta,4.27,0.48467650397275813,-0.39278162726078836
2002,Malta,4.22,0.4790011350737797,-0.4243409143523815
2003,Malta,4.48,0.5085130533484676,-0.2602326214760959
2004,Malta,4.66,0.52894438138479,-0.1466191879463601
2005,Malta,6.58,0.7468785471055618,1.0652574363708232
2006,Malta,6.45,0.7321225879682179,0.9832032899326806
2007,Malta,6.18,0.7014755959137343,0.8127831396380764
2008,Malta,5.72,0.6492622020431328,0.5224376983954179
